metric	develop	bolt	delta
GLOBAL_MODULE_COUNT	214	218	4
GLOBAL_EDGE_COUNT	257	271	14

module	indegree_develop	indegree_bolt	indegree_delta	outdegree_develop	outdegree_bolt	outdegree_delta
cbfkit.simulation.ui	0	3	3	0	0	0
cbfkit.utils.lqr	0	2	2	0	0	0
cbfkit.simulation.simulator_jit	1	1	0	1	3	2
cbfkit.simulation.backend	1	1	0	2	4	2
cbfkit.controllers.utils	0	1	1	0	1	1
cbfkit.utils.user_types	69	70	1	0	0	0
cbfkit.utils.logger	4	4	0	0	1	1
cbfkit.systems.quadrotor_6dof.controllers.geometric	1	1	0	5	6	1
cbfkit.systems.quadrotor_6dof.certificates.lyapunov_functions	1	1	0	4	5	1
cbfkit.simulation.simulator	0	0	0	5	6	1
cbfkit.simulation.callbacks	1	1	0	2	3	1
cbfkit.optimization.quadratic_program.qp_solver_jaxopt	2	3	1	0	0	0
cbfkit.controllers.cbf_clf.utils.risk_aware_params	4	5	1	0	0	0
cbfkit.controllers.cbf_clf.risk_aware_cbf_clf_qp_control_laws	1	1	0	3	4	1
cbfkit.controllers.cbf_clf.cbf_clf_qp_generator	7	7	0	3	4	1
cbfkit.controllers	1	1	0	1	2	1
cbfkit.certificates	12	13	1	2	2	0
cbfkit._version	0	1	1	0	0	0
cbfkit	0	0	0	0	1	1
cbfkit.utils.visualization	0	0	0	0	0	0
cbfkit.utils.uncertainty	1	1	0	0	0	0
cbfkit.systems.unicycle.models.olfatisaber2002approximate.dynamics	2	2	0	0	0	0
cbfkit.systems.unicycle.models.accel_unicycle.dynamics	1	1	0	1	1	0
cbfkit.simulation.monte_carlo	0	0	0	0	0	0
cbfkit.sensors.full_state	1	1	0	1	1	0
cbfkit.ros2.controller_wrappers	0	0	0	1	1	0
cbfkit.ros.controller_wrappers	0	0	0	1	1	0
cbfkit.optimization.quadratic_program.qp_solver_casadi	0	0	0	0	0	0
cbfkit.estimators.kalman_filters.ukf	2	2	0	2	2	0
cbfkit.controllers.mppi.mppi_source	1	1	0	0	0	0
cbfkit.controllers.mppi.mppi_generator	1	1	0	2	2	0
cbfkit.controllers.cbf_clf.utils.utils	1	1	0	0	0	0
cbfkit.controllers.cbf_clf.utils.rectify_relative_degree	0	0	0	3	3	0
cbfkit.controllers.cbf_clf.generate_constraints.zeroing_cbfs	1	1	0	3	3	0
cbfkit.controllers.cbf_clf.generate_constraints.vanilla_clfs	1	1	0	3	3	0
cbfkit.controllers.cbf_clf.generate_constraints.unpack	12	12	0	1	1	0
cbfkit.controllers.cbf_clf.generate_constraints.stochastic_clfs	1	1	0	3	3	0
cbfkit.controllers.cbf_clf.generate_constraints.stochastic_cbfs	1	1	0	3	3	0
cbfkit.controllers.cbf_clf.generate_constraints.robust_clfs	1	1	0	4	4	0
cbfkit.controllers.cbf_clf.generate_constraints.robust_cbfs	1	1	0	4	4	0
cbfkit.controllers.cbf_clf.generate_constraints.risk_aware_path_integral_clfs	1	1	0	4	4	0
cbfkit.controllers.cbf_clf.generate_constraints.risk_aware_path_integral_cbfs	1	1	0	4	4	0
cbfkit.controllers.cbf_clf.generate_constraints.risk_aware_clfs	1	1	0	4	4	0
cbfkit.controllers.cbf_clf.generate_constraints.risk_aware_cbfs	1	1	0	4	4	0
cbfkit.controllers.cbf_clf.generate_constraints.generating_functions	13	13	0	2	2	0
cbfkit.controllers.cbf_clf.generate_constraints.consolidated_cbfs	1	1	0	5	5	0
cbfkit.controllers.cbf_clf.generate_constraints.activated_cbfs	1	1	0	4	4	0
cbfkit.controllers.adaptive_cvar_cbf	0	0	0	2	2	0
cbfkit.codegen.create_new_system.generate_model	0	0	0	0	0	0
cbfkit.certificates.rectifiers	3	3	0	2	2	0
cbfkit.certificates.packager	2	2	0	1	1	0
cbfkit.certificates.conditions.lyapunov_conditions.fixed_time_stability	0	0	0	0	0	0
cbfkit.certificates.conditions.lyapunov_conditions.finite_time_stability	0	0	0	0	0	0
cbfkit.certificates.conditions.lyapunov_conditions.exponential_stability	0	0	0	0	0	0
cbfkit.certificates.conditions.lyapunov_conditions.asymptotic_stability	0	0	0	0	0	0
cbfkit.certificates.conditions.barrier_conditions.zeroing_barriers	1	1	0	0	0	0
cbfkit.certificates.conditions.barrier_conditions.stochastic_barrier	0	0	0	0	0	0
cbfkit.certificates.conditions.barrier_conditions.path_integral_barrier	0	0	0	0	0	0
